Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2023,BMW,BMX,BMW,230i Coupe,8B66909,0,2.000,NBMXJ02.0M48,Both,255,,B48B20O1G42S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,NBMX10070541,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0136766,0.4038516,259.6035466,0.0246212,,0.0030180,0.0011669,33.7,MPG,31.8654731,33.0246746,37.0182242,,-0.7197558,-0.4931520,-1.7901699,45.100,-0.1900,0.020060,16.700,0.10500,0.016430,,,N,,,N,No averaging
2023,BMW,BMX,BMW,230i Coupe,8B66909,0,2.000,NBMXJ02.0M48,Both,255,,B48B20O1G42S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,NBMX10070542,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0032706,0.0902624,174.1833846,0.0034940,,0.0008295,,50.5,MPG,,,,,4.0948267,3.3754490,-0.5930337,45.100,-0.1900,0.020060,16.700,0.10500,0.016430,,,N,,,N,No averaging
2023,BMW,BMX,BMW,230i xDrive Coupe,8C35761,0,2.000,PBMXV02.0M48,Car,255,4,B48B20O1G42X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,23.9,1,Not eqipped,PBMX10075788,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0104392,0.3862615,280.6312066,0.0243581,,0.0020490,0.0008742,31.3,MPG,29.5003685,30.8316144,33.9648051,,1.2076247,0.7355182,0.2899867,55.700,-0.4890,0.022570,17.100,-0.35500,0.019330,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,230i xDrive Coupe,8C35761,0,2.000,PBMXV02.0M48,Car,255,4,B48B20O1G42X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,23.9,1,Not eqipped,PBMX10075789,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0001849,0.0510418,178.1168155,0.0027041,,0.0000920,,49.6,MPG,,,,,1.0674465,0.6977459,-0.4705130,55.700,-0.4890,0.022570,17.100,-0.35500,0.019330,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,230i xDrive Coupe,8C35761,0,2.000,PBMXV02.0M48,Car,255,4,B48B20O1G42X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,23.9,1,Not eqipped,PBMX10075790,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0117160,0.3553940,276.8386655,0.0245220,,0.0021389,0.0014375,31.8,MPG,29.9709794,31.0553890,35.2163677,,1.2575988,0.7616446,-1.0602769,55.700,-0.4890,0.022570,17.100,-0.35500,0.019330,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075025,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0366237,1.3297786,389.7266189,,,0.0068656,,22.4,MPG,16.4000000,24.7000000,24.9000000,,2.3249876,1.6662514,1.3094950,51.200,0.0360,0.019820,11.900,0.35600,0.015610,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075028,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0030048,1.0034834,471.2195336,0.0020132,,0.0027716,,18.7,MPG,,,,,0.1678028,-0.0649275,0.4441355,46.100,0.0330,0.017840,15.900,0.25800,0.015090,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075029,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0014415,0.1452481,293.2779755,0.0069051,,0.0006617,,30.1,MPG,19.4000000,35.6000000,,,-7.3565058,-4.8348697,-2.0926191,46.100,0.0330,0.017840,15.900,0.25800,0.015090,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075030,MFR,No,,,,,81,Charge Depleting UDDS,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,46.100,0.0330,0.017840,15.900,0.25800,0.015090,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075031,MFR,No,,,,,84,Charge Depleting Highway,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,46.100,0.0330,0.017840,15.900,0.25800,0.015090,TWC,Three-way catalyst,N,,,N,No averaging
